tabphyname,idxphyname,idxcolsequence,colphyname,uniqueindex
component,compname_idx,1,compname,No
component,slope_idx,1,slope_r,No
component,taxorder_idx,1,taxorder,No
component,taxsuburder_idx,1,taxsuborder,No
component,taxgrgrp_idx,1,taxgrtgroup,No
component,tassbgrp_idx,1,taxsubgrp,No
component,taxpartsz_idx,1,taxpartsize,No
muaggatt,musym1_idx,1,musym,No
muaggatt,muname1_idx,1,muname,No
muaggatt,floodfrq_idx,1,flodfreqdcd,No
muaggatt,draincl_idx,1,drclassdcd,No
mapunit,musym2_idx,1,musym,No
mapunit,farmcl_idx,1,farmlndcl,No
mapunit,muname2_idx,1,muname,No
